date,median_1y_ret,sse_composite_1y_ret,sse_composite,n_eligible
2020-11-16,0.1417659002724294,0.13142117001451425,3346.9692,3915
2020-11-17,0.12938915523227013,0.12246818752892596,3339.895,3921
2020-11-18,0.13580768299394608,0.11891485993505335,3347.3034,3926
2020-11-19,0.14977572484366108,0.12908503353342193,3363.0876,3927
2020-11-20,0.14721395333308673,0.133954534211135,3377.7267,3929
2020-11-23,0.15662002628695681,0.15191528706593171,3414.4899,3930
2020-11-24,0.1805661732793602,0.1693650178252415,3402.8225,3946
2020-11-25,0.162351409841756,0.15352704754099666,3362.3274,3946
2020-11-26,0.16683570712296025,0.15988088973964265,3369.7334,3951
2020-11-27,0.15900354525175286,0.17129199977579734,3408.3071,3950
2020-11-30,0.1687116564417177,0.17307250737555147,3391.7551,3953
2020-12-01,0.1770298927021018,0.18655924745227215,3451.9384,3955
2020-12-02,0.16440630602624673,0.17566166192477506,3449.3805,3955
2020-12-03,0.16893052597790204,0.18243653654721714,3442.1359,3959
2020-12-04,0.17019700000000015,0.18629853949764175,3444.5814,3962
2020-12-07,0.17126509148671998,0.18414634044901734,3416.6037,3960
2020-12-08,0.17117286685025113,0.17342705626734412,3410.1771,3964
2020-12-09,0.14890187707351554,0.15992231602221385,3371.964,3966
2020-12-10,0.14783405931803673,0.16191855820072965,3373.2758,3967
2020-12-11,0.13261119191499993,0.15832046403262012,3347.191,3971
2020-12-14,0.13841268133458917,0.17309959504262795,3369.1201,3976
2020-12-15,0.1363037332189052,0.17088259602382228,3367.2326,3977
2020-12-16,0.11601501407569614,0.1671870907285018,3366.9832,3980
2020-12-17,0.12629673484784965,0.18302165545325377,3404.8732,3984
2020-12-18,0.11414847087503355,0.17086838501608148,3394.896,3988
2020-12-21,0.11370784222196284,0.17464056486549362,3420.5693,3990
2020-12-22,0.08580778498985853,0.15176123336001046,3356.7822,3990
2020-12-23,0.08702837420164955,0.1593944049319036,3382.3195,3995
2020-12-24,0.06809447966436366,0.1500114227883962,3363.1133,3995
2020-12-25,0.07902152866619594,0.16492251616019393,3396.5626,3998
2020-12-28,0.05735229341610326,0.1447627510870122,3397.2854,4002
2020-12-29,0.04501384184948165,0.13223585704628338,3379.0362,4014
2020-12-30,0.03327938346535275,0.1297075037737121,3414.4527,4015
2020-12-31,0.04646142719132218,0.15114954887637722,3473.0693,4017
2021-01-04,0.05161660972185622,0.16104806199453803,3502.9584,4019
2021-01-05,0.05256593707850232,0.17429283722896605,3528.6767,4021
2021-01-06,0.059467784702163295,0.19850650306017914,3550.8767,4021
2021-01-07,0.014051479344142193,0.19899012988517772,3576.2046,4023
2021-01-08,0.012784690670999299,0.19726736198851702,3570.1082,4026
2021-01-11,-0.020180018874569328,0.1742871292929673,3531.4978,4024
2021-01-12,-0.01100261353736598,0.20076415070637288,3608.3389,4026
2021-01-13,-0.03157352886918008,0.1837577329572968,3598.6518,4028
2021-01-14,-0.032742946708463894,0.16910151849564148,3565.9046,4027
2021-01-15,-0.03447976554128296,0.15596414310707374,3566.3778,4026
2021-01-18,-0.026342075926009678,0.16617169065374116,3596.2237,4028
2021-01-19,-0.030896968824368654,0.15663611595000249,3566.3814,4033
2021-01-20,-0.042490920685028244,0.15404865657273104,3583.092,4031
2021-01-21,-0.02509719360809931,0.18076003642123095,3621.2641,4032
